Word , Frequency
टैरेंट , 1
घोषणापत्र , 14
पढ़ा , 17
वर्तमान , 213
उम्रकैद , 17
काट , 41
ऐसे , 723
हालात , 185
तीसरा , 64
दौरा , 96
लगता , 585
सही , 465
धीरेधीरे , 60
सांस , 88
लें , 163
छोड़ें। , 2
तस्वीरें , 225
आती , 163
कौन , 292
करेगा , 114
सब। , 4
जाकर , 148
शव , 530
कब्जे , 244
उसका , 402
पोस्टमार्टम , 361
करवा , 53
लिया , 1318
प्राथमिकी , 88
करके , 303
कार्रवाई , 667
शुरु , 61
थी , 1223
नयी , 59
प्रवर्तन , 51
निदेशालय , 56
ईडी , 91
करोड़ , 439
रुपये , 828
पीएनबी , 21
घोटाले , 54
सिलसिले , 52
हीरा , 16
कारोबारी , 40
नीरव , 27
मेहुल , 11
चौकसी , 14
रेड , 60
कॉर्नर , 9
नोटिस , 107
इंटरपोल , 4
रुख , 71
दूध , 113
कैल्शियम , 38
मात्रा , 202
अपारशक्ति , 2
खासा , 27
ऐक्टिव , 4
रहते , 265
फैन्स , 53
फोटोज , 55
शेयर , 490
पुनीत , 12
बेस्ट , 75
चाइल्ड , 8
आर्टिस्ट , 12
कर्नाटक , 200
स्टेट , 81
अवॉर्ड , 39
निराश , 54
काठमांडू , 6
दूतावास , 35
पहल , 79
उन , 436
विमान , 175
निकाल , 57
अपराधियों , 55
मिलनी , 14
आइडिया , 24
चौथा , 34
वोडाफोन , 29
रहा। , 259
नामजद , 38
पृथ्वीराज , 16
कपूर , 642
राज , 132
विवाह , 54
राय , 182
करतारनाथ , 1
कृष्णा , 36
रामशंकर , 1
आरोपपत्र , 15
किया। , 889
मेडल , 50
गोलाकार , 1
स्टेंडर्ड , 2
सिल्वर , 27
निर्मित , 46
एडमिट , 84
कार्ड , 330
टाइपिंग , 2
टेस्ट , 451
केंद्र , 550
रहेगा। , 138
नियमों , 125
उल्लंघन , 126
कानूनी , 98
अमल , 40
लाई , 19
जएगी। , 1
एसपी , 91
शिकायत , 502
आरोपी , 630
आदतें , 6
अलगअलग , 235
युबक , 1
उसके , 1140
खड़ा , 63
नेता , 772
मुरली , 22
मनोहर , 61
संसदीय , 74
समिति , 245
कराने , 182
मेरा , 390
खुद , 361
ख़िलाफ़ , 20
लड़ाई , 109
लड़ता , 1
रहूँगा। , 5
खतरे , 70
निपटने , 102
लघु , 23
मध्यम , 79
दीर्घ , 1
अवधि , 91
रणनीति , 61
विशिष्ट , 52
योजना , 388
बनाने , 468
छोटा , 64
सा , 98
इकाई , 58
जुड़े , 28
नेताओं , 303
तीनों , 212
रथ , 11
यात्राओं , 8
रैलियों , 10
अमित , 325
शाह , 403
मंत्रियों , 64
शासित , 52
हिस्सा , 389
लेंगे , 34
एयरपोर्ट , 72
अथॉरिटी , 12
ऑफ , 441
इंडिया , 566
ऑपरेटर , 6
नीति , 152
किशोर , 51
हिरासत , 273
ले , 807
आयी , 31
मुझमें , 13
उम्मीद , 337
जागी। , 1
सूचना , 817
चरवा , 1
पहुंची , 397
घायलों , 242
स्थानीय , 330
इसी , 492
उनसे , 290
प्रगाण , 3
प्रेम , 147
कोशिश , 429
करूंगा। , 44
उधर , 71
तलाश , 322
लगी , 248
जानती , 55
ओवेन , 2
कॉयल , 1
चेन्नइयिन , 1
एफसी , 5
अन्यथा , 23
व्यथ , 1
महीनों , 73
चुनाव , 850
जसप्रीत , 32
कौर , 61
सास , 15
सविंदर , 1
बहन , 100
नाबालिग , 38
बेटियों , 21
समेत , 302
केवल , 534
उपस्थित , 184
मंगेतर , 4
हालत , 269
आयुर्वेद , 20
फार्मासिस्ट , 4
भरे , 49
ग्रामीण , 104
नियुक्ति , 51
इंदौर , 55
कमलनाथ , 24
रामेश्वर , 5
पटेल , 151
देखने , 316
कह , 223
सीख , 43
परन्तु , 133
इसकी , 919
तानाशाही , 7
रुक , 22
पायी , 12
मायने , 60
रखते , 142
प्रति , 389
एकड़ , 19
फायदा , 127
होता , 1372
दिख , 106
सामग्री , 145
डालें , 136
स्मूथ , 8
प्रोसेस , 13
लोग , 1416
ईमेलआईडी , 2
जैसी , 198
जानकारियां , 32
देने , 797
सुविधा , 228
इस्लेमाल , 1
सकेंगे। , 47
आगामी , 141
बढ़गी। , 1
आइये , 24
आपको , 1097
बताते , 80
लाभ , 259
उसी , 148
पीएलए , 7
वायुसेना , 45
पहली , 513
हवाई , 114
गश्त , 17
शुक्रिया , 65
लाठीचार्ज , 21
शुरू , 1259
महीने , 183
सब्जियों , 40
बेकरी , 3
कीमतों , 93
वृद्धि , 174
जिससे , 371
दीवाली , 8
रंग , 252
फीका , 1
पडे़गा। , 2
डॉल्बी , 7
विजन , 7
एटमॉस , 1
सपोर्ट , 107
जगह , 395
आधिकारिक , 298
ऐलान , 85
जानें , 71
फलों , 21
उचित , 139
भंडारण , 11
अभाव , 25
उपज , 20
बर्बाद , 45
जाती , 512
शवों , 87
परिजनों , 346
सौंपे , 12
जाएंगे , 94
शारीरिक , 89
इनकार , 159
पति , 253
हत्या , 437
लापरवाही , 53
हुई। , 321
मंत्रालय , 353
बावत , 1
सुझाव , 118
मांगा , 55
खैर , 23
उद्देश्यों , 30
रियाज़ान , 1
संस्थान , 130
हिंदी , 196
बंगाली , 27
मराठी , 47
असमी , 3
गुजराती , 21
कन्नड़ , 37
भोजपुरी , 24
मलयालम , 32
उड़िया , 4
उर्दू , 20
भाषाओं , 53
गाया। , 2
अलग , 481
थलग , 3
प्रयासों , 68
उपायों , 39
अजीज , 9
पकिस्तान , 3
क्षेत्रीय , 72
सहयोगियों , 29
अंतर्राष्ट्रीय , 67
संपर्क , 208
अचानक , 93
निर्णय , 284
बदल , 180
अर्जुन , 133
मलाइका , 22
अरोड़ा , 32
चर्चा , 329
सर्कुलर , 6
सहायक , 110
आयुक्त , 79
स्टेशनों , 38
ट्रेनों , 50
विस्तृत , 108
दैनिक , 42
सूची , 182
संदर्भ , 74
करेंगे , 310
ट्रेन , 127
यात्रियों , 159
अपेक्षित , 12
भार , 19
करेंगे। , 361
हार्ट , 42
लंग्स , 1
